ORF,AAvAS_3D7
PF3D7_0913000,7.2137723703314
PF3D7_1109900,6.764936421755251
PF3D7_0108300,6.4889563762781055
PF3D7_0113400,6.367203670008396
PF3D7_0503300,6.093743386451537
PF3D7_1414800,6.038281215805962
PF3D7_0903600.2,6.013049573539862
PF3D7_1110300,5.920273960187358
PF3D7_1006700,5.904297378696215
PF3D7_0807700,5.8228656696224235
PF3D7_1304900,5.759869320543131
PF3D7_1476600,5.69022159379365
PF3D7_1140700,5.679255381037726
PF3D7_1366000,5.6036618895181585
PF3D7_1216900,5.566605598586663
PF3D7_0220500,5.553860319972791
PF3D7_1250000,5.541258003855954
PF3D7_1456300,5.530051017173419
PF3D7_1330800,5.4075686107869485
PF3D7_1038000.2,5.388349175423393
PF3D7_0110800,5.385997395136731
PF3D7_0905700.3,5.307693420356348
PF3D7_0509300,5.262409590094204
PF3D7_1364400,5.250704888586178
PF3D7_0627800,5.248663661843476
PF3D7_1339300,5.241234482778138
PF3D7_0419200,5.205103871915836
PF3D7_0918300,5.173822231065307
PF3D7_1315400,5.160727289201037
PF3D7_1457700,5.136913745595051
PF3D7_0415500,5.078437166368746
PF3D7_0106700,5.059264273553107
PF3D7_1217500,5.0569696269431565
PF3D7_1242700,5.05155969600645
PF3D7_1433000,5.051409020165699
PF3D7_0822300,5.039146464815607
PF3D7_0422400,5.025359062565211
PF3D7_1142600,4.996438521827079
PF3D7_0807300,4.970427473517156
PF3D7_0528200,4.963351948508174
PF3D7_1345100,4.942070536770819
PF3D7_1213700,4.9225752594164
PF3D7_1415200,4.919683369461811
PF3D7_1038200,4.917268091094378
PF3D7_1423700,4.9110132613700355
PF3D7_0928500,4.902958482165754
PF3D7_1124800,4.894280695299496
PF3D7_1367600,4.880070369493642
PF3D7_0403700,4.871511643697966
PF3D7_1411000.2,4.86263670637747
PF3D7_1011800,4.859803651039149
PF3D7_1344100,4.814684557454936
PF3D7_1467600,4.813725983724598
PF3D7_0517700,4.800409016156782
PF3D7_1007500,4.780397838477459
PF3D7_1225400,4.7772695634361675
PF3D7_1447100,4.772340469335721
PF3D7_0708100,4.770248090214223
PF3D7_0707900,4.759089840011057
PF3D7_0507800,4.718735196269928
PF3D7_1135700,4.6869029236479856
PF3D7_1110400,4.686521351752924
PF3D7_0909800,4.684182350483621
PF3D7_0829100,4.683561033167206
PF3D7_0818400,4.682563411057056
PF3D7_0921800,4.680154614134297
PF3D7_0804000,4.677001643980553
PF3D7_0729500,4.673574319388799
PF3D7_1108900,4.653218913324568
PF3D7_1113500,4.652208319639807
PF3D7_1107300,4.636495401470928
PF3D7_0509800,4.632341076055439
PF3D7_1366300,4.628258953005181
PF3D7_0703500,4.622910303512285
PF3D7_0216200,4.622616849810047
PF3D7_0728000,4.620715810064613
PF3D7_0931200,4.617505056208708
PF3D7_1476500,4.590072352032016
PF3D7_1107700,4.589380273436716
PF3D7_1311000,4.578590501115284
PF3D7_1105600,4.5782873282167165
PF3D7_0109700,4.5621677265535565
PF3D7_0912500,4.554833489854715
PF3D7_1203200,4.548521944793436
PF3D7_1407300,4.520250922071296
PF3D7_1129100,4.519495129337169
PF3D7_1102500,4.5166370371146725
PF3D7_0418700,4.512908434551825
PF3D7_0420300,4.506591796605179
PF3D7_1248200,4.505604375203236
PF3D7_1464600,4.502797500142983
PF3D7_1338200,4.500442846115555
PF3D7_0820000,4.497305763592502
PF3D7_1366900,4.493322921209989
PF3D7_0310200,4.471422200758205
PF3D7_0215200,4.467531024414002
PF3D7_0720100,4.46692060927268
PF3D7_1028300,4.465544992437878
PF3D7_0519700,4.462666673246422
PF3D7_1206200,4.45680759766725
PF3D7_0809500,4.4558972395870775
PF3D7_1336700,4.455862703303773
PF3D7_1007900,4.445764046337726
PF3D7_0706500,4.439017909989998
PF3D7_0303300,4.435193252596903
PF3D7_1119200,4.433128581556764
PF3D7_1238300,4.42778790615718
PF3D7_0217700,4.414266180960752
PF3D7_1019400,4.414012243147773
PF3D7_0729000,4.405889085356651
PF3D7_0721900,4.402781190466091
PF3D7_1464700,4.398113028654362
PF3D7_1445400,4.394009618365102
PF3D7_1039000,4.390959802917297
PF3D7_1038000.1,4.3808411606902276
PF3D7_1306800,4.375618746624402
PF3D7_0921900,4.3716369960413735
PF3D7_0929200,4.370499065676901
PF3D7_0807600,4.369164195967266
PF3D7_1365800,4.36078590560002
PF3D7_0307200,4.3595403763523075
PF3D7_0317300,4.349335495679761
PF3D7_0310600.1,4.346497629430725
PF3D7_1342900,4.345362854319652
PF3D7_0813400,4.342688020186559
PF3D7_1017600,4.339648350085417
PF3D7_1117300,4.337786570431695
PF3D7_0404300,4.337177154143188
PF3D7_1138100,4.332952842021206
PF3D7_0905100,4.31732545945485
PF3D7_0907700,4.3167618101320935
PF3D7_0402400,4.312353229706357
PF3D7_1143300,4.288664976408594
PF3D7_1207100,4.284748567045235
PF3D7_0802400,4.282407773546184
PF3D7_0409200,4.2761845512161
PF3D7_1211400,4.273914767634027
PF3D7_0215600,4.273252296467347
PF3D7_0304400.1,4.272631485473745
PF3D7_0905800,4.271571869035987
PF3D7_0315800,4.269482020154613
PF3D7_0702900,4.266153677515876
PF3D7_0204200,4.261815234243665
PF3D7_1244800,4.257797215855926
PF3D7_1008100,4.255995950681197
PF3D7_1407500,4.248228275779732
PF3D7_0521600,4.241773323519299
PF3D7_1310800,4.22995002261719
PF3D7_0420000,4.229261310859702
PF3D7_0403200,4.227289940354416
PF3D7_0403300,4.21985000808575
PF3D7_1227900,4.217767119387838
PF3D7_0823700,4.205564570767876
PF3D7_1415800,4.203432697803811
PF3D7_1350300,4.187062256158442
PF3D7_1352100,4.185090401770244
PF3D7_0627900,4.180054679084379
PF3D7_1108000,4.18004409380085
PF3D7_1249800,4.177557126397091
PF3D7_0730300,4.1766753030844965
PF3D7_1146900,4.176082444410638
PF3D7_0816000,4.163007365994155
PF3D7_1464200,4.15450429238512
PF3D7_0823300,4.133759109761112
PF3D7_1340200,4.1323854477060085
PF3D7_1417600,4.129947953622878
PF3D7_0630500,4.124734916413461
PF3D7_0311500,4.123174512232123
PF3D7_0930400.1,4.1230216686181125
PF3D7_1216500,4.11988896621469
PF3D7_0206100,4.117390178841864
PF3D7_0320900,4.1125106898040675
PF3D7_0801500,4.112086882189709
PF3D7_1474600,4.110493885824561
PF3D7_1310000,4.1098689867937015
PF3D7_1310400,4.099988909346441
PF3D7_1351000,4.095821286842349
PF3D7_1424400,4.082647543332293
PF3D7_1207800,4.082030589269957
PF3D7_0911900,4.074526792950894
PF3D7_1446300,4.071794966380854
PF3D7_0919000,4.071498790013941
PF3D7_0106400,4.06727983916473
PF3D7_1121700,4.063672960383454
PF3D7_1359400,4.055880699310684
PF3D7_0520600,4.049570243639003
PF3D7_0819000,4.045719660500899
PF3D7_0707600,4.037024880752869
PF3D7_0933000,4.032896075655151
PF3D7_1466800,4.0303770670312655
PF3D7_1027100,4.027428465606257
