ORF,AAvAS_FUP
PF3D7_1212600.2,5.313563188258026
PF3D7_0310600.1,5.056955324037428
PF3D7_1340200,4.9461402227713425
PF3D7_0818400,4.864808516596018
PF3D7_1002500,4.844837885569209
PF3D7_0212200,4.833842755147771
PF3D7_0206600,4.825038774696645
PF3D7_1453300,4.8043804684432025
PF3D7_0519700,4.739005983719324
PF3D7_1415800,4.726879259413276
PF3D7_1438500,4.703897205485424
PF3D7_0506100,4.590639168051471
PF3D7_0702600,4.50832959622528
PF3D7_1038200,4.426187306050069
PF3D7_1442300,4.3931214543208545
PF3D7_0926200,4.291959046989385
PF3D7_1124400,4.285906093239916
PF3D7_0419200,4.253746457867437
PF3D7_1311000,4.246441339923453
PF3D7_1009000,4.223496565483426
PF3D7_0111700,4.166280680803498
PF3D7_1315400,4.165282606609762
PF3D7_1248200,4.163508294602854
PF3D7_1124800,4.155865590090831
PF3D7_0707900,4.133572567270998
PF3D7_1307000,4.112107174471714
PF3D7_0830700,4.0688119904502065
PF3D7_1435400,4.04970420373735
PF3D7_0524500,4.007141538782274
PF3D7_0918300,3.989001567796104
PF3D7_1317700,3.9430639392404214
PF3D7_1355500,3.8526985634273996
PF3D7_1201400,3.8389596741578136
PF3D7_0314700,3.833464867067863
PF3D7_1414800,3.73422772077031
PF3D7_0210900,3.7253540568685137
PF3D7_0823700,3.7225240606543877
PF3D7_1461200,3.715143661884371
PF3D7_1242100,3.7142403581199743
PF3D7_1011500,3.7026895481366466
PF3D7_0822800,3.6998806978945113
PF3D7_1419300,3.674665520177188
PF3D7_1463000,3.664505005510099
PF3D7_0524000,3.660750595436746
PF3D7_0801900,3.62887069858683
PF3D7_0204300,3.6253774513712407
PF3D7_0205500,3.62189563779572
PF3D7_0220500,3.589203868598387
PF3D7_1007900,3.570097444456904
PF3D7_1469300,3.561898147515038
PF3D7_1308200,3.5504771296437116
PF3D7_0935100,3.5329123640719273
PF3D7_1246500,3.5155025160068725
PF3D7_0204500,3.5143824141675
PF3D7_1330400.2,3.5021112328381627
PF3D7_0716900,3.4943376460888733
PF3D7_0923000,3.492714594590853
PF3D7_1027500,3.454503849235912
PF3D7_1213700,3.4474408026255725
PF3D7_0528600,3.427946391063601
PF3D7_0422600,3.418966987609321
PF3D7_0507900,3.4047035933481187
PF3D7_1428300,3.377845735463392
PF3D7_1338200,3.369469324540918
PF3D7_0935000,3.3633882272285787
PF3D7_0728000,3.3622151577880017
PF3D7_1125500,3.355564803845304
PF3D7_0810600,3.338474226927054
PF3D7_0722500,3.33105399692967
PF3D7_1237800,3.3165802856022815
PF3D7_0809500,3.3071786583695495
PF3D7_0309000,3.306166168312728
PF3D7_1323000,3.302068533031916
PF3D7_0509300,3.2932463581649816
PF3D7_1314900,3.2883677335919064
PF3D7_1002200,3.2877980695565827
PF3D7_0804800,3.2854403448019083
PF3D7_1340100,3.2851645588381992
PF3D7_0503300,3.2848660393741373
PF3D7_0517700,3.282189786090186
PF3D7_1366100,3.278048503088764
PF3D7_1138100,3.274147892921651
PF3D7_1408900,3.267011655393442
PF3D7_1328800,3.2660544687180617
PF3D7_0731400,3.233855623748147
PF3D7_1449900,3.2321815918600936
PF3D7_1414200,3.2302208612299066
PF3D7_1451500,3.2257130917571892
PF3D7_0722400,3.2235328167100685
PF3D7_0719000,3.21900537752063
PF3D7_1127900,3.1973311718841275
PF3D7_1407500,3.196032659161543
PF3D7_1201500,3.1794094117458975
PF3D7_0627900,3.1715791418138966
PF3D7_1422300,3.167327695723792
PF3D7_1474600,3.165316319737946
PF3D7_0623200,3.1611790409717244
PF3D7_0921900,3.1599938794683236
PF3D7_0523900,3.1342255904359826
PF3D7_1217800,3.1198570808880914
PF3D7_1117300,3.1190000328496783
PF3D7_0902000,3.1189110361009083
PF3D7_0906700,3.1159325957399435
PF3D7_0925900,3.099970109287868
PF3D7_0110800,3.092938982654306
PF3D7_1423700,3.092872650765023
PF3D7_1445700,3.090843404648365
PF3D7_0805400,3.0891898932459494
PF3D7_0303300,3.0837977097107436
PF3D7_1105600,3.0823038263736087
PF3D7_1243600,3.0739717249495966
PF3D7_0722000,3.0716492539755627
PF3D7_1304200.1,3.069777785053853
PF3D7_1433000,3.0635057261762553
PF3D7_1337900,3.0612970176857637
PF3D7_1012900,3.055434857552314
PF3D7_1351900,3.0507440870191926
PF3D7_1422800,3.049620403007079
PF3D7_0907700,3.0461409878313175
PF3D7_1447100,3.0458972591190427
PF3D7_1339500,3.0452323647341886
PF3D7_1249900,3.040544296645858
PF3D7_0219100,3.038460286376954
PF3D7_0708100,3.021467287128008
PF3D7_0707600,3.009444561133039
PF3D7_1421500,3.0029211918050915
PF3D7_0729500,2.9928796460258438
PF3D7_1327700,2.9882436954650027
PF3D7_0626700,2.9854171166974517
PF3D7_1032700,2.9762460457014086
PF3D7_0204400,2.9746891381939786
PF3D7_0505600,2.9588179926777363
PF3D7_0610700,2.9570334745949274
PF3D7_1120000,2.956222822664015
PF3D7_0708800,2.95055115528169
PF3D7_0608310,2.947784922305231
PF3D7_0410400,2.9418317706937156
PF3D7_1121700,2.9367519657294996
PF3D7_1214200,2.9352551486849405
PF3D7_1202800,2.932744978075833
PF3D7_0521000,2.931738675456083
PF3D7_1364500,2.9317133424414283
PF3D7_1366000,2.928163112225376
PF3D7_1213800,2.9241770084781757
PF3D7_0304200,2.922703092343642
PF3D7_1250000,2.920475775800995
PF3D7_1345100,2.919541696627413
PF3D7_1358700,2.917815930030122
PF3D7_1137800,2.915676562717799
PF3D7_0521600,2.915266221447231
PF3D7_1207900,2.914419118852583
PF3D7_1450700,2.9010572088756863
PF3D7_0714500,2.8889357995969194
PF3D7_0907000,2.8883837982756146
PF3D7_1307800,2.887647136184812
PF3D7_0931200,2.885024907107263
PF3D7_1211500,2.8836490321121064
PF3D7_1106000,2.882799202741817
PF3D7_1119800,2.868143410479608
PF3D7_0617200,2.8666141568392765
PF3D7_0108400.1,2.863675431257786
PF3D7_1246600,2.8567318125808514
PF3D7_0612100,2.8522965960935656
PF3D7_0306200,2.846325293159561
PF3D7_0215400,2.841693115464535
PF3D7_1456900,2.840790503478686
PF3D7_1216900,2.8296250270862497
PF3D7_1327000,2.8292046053039654
PF3D7_1339300,2.828959871610356
PF3D7_0935300,2.8259593617809404
PF3D7_0301300,2.820027377252451
PF3D7_0914000,2.8195500277804135
PF3D7_1302300,2.8166124884475643
PF3D7_1309600,2.8165226091223152
PF3D7_0909800,2.814332211476971
PF3D7_1144600,2.811087632919955
PF3D7_0606900,2.8097273867577486
PF3D7_0405500,2.8036589069018185
PF3D7_1450000,2.7994435306151257
PF3D7_0522000,2.795397690915739
PF3D7_1443300,2.7902737674124234
PF3D7_1211400,2.790179488082501
PF3D7_0517100,2.7866197691509758
PF3D7_1427800,2.7847192653094943
PF3D7_0315100,2.782478933309639
PF3D7_0611400,2.774225595335015
PF3D7_1310400,2.7690297654140292
PF3D7_1130000,2.765827568377323
PF3D7_1321900,2.7593232562920327
PF3D7_0922600,2.7573621791669756
PF3D7_1458100,2.7522230229994578
PF3D7_1437800,2.751784187590482
PF3D7_0405400,2.748783509784843
