pro	pep	rep	conf	qc1	qc2	qc3	qc4	qc5	mean	std	cov
ACE2	1	r1	medium	0.009264472	0.006848107	0.011241934	0.007571762	0.010337444	0.0090527438	0.00183994345552905	0.203247048207534
ACE2	1	r2	high	0.010376349	0.006914352	0.008761374	0.007493242	0.0073483	0.0081787234	0.00140776088253716	0.172124769806637
ACE2	2	r1	high	0.005578428	0.00603741	0.004661881	0.004160023	0.003149307	0.0047174098	0.00114634885097674	0.243003872798319
ACE2	2	r2	high	0.006196484	0.004072563	0.003311031	0.003451293	0.00246405	0.0038990842	0.00140657273319644	0.360744385360141
ASE1	3	r1	medium	0.007211973	0.007857252	0.00366147	0.005790369	0.004662388	0.0058366904	0.0017383028358558	0.297823375359398
ASE1	3	r2	medium	0.002915534	0.003291689	0.003400465	0.001940863	0.002700201	0.0028497504	0.000581241152141519	0.203962126697664
ASH1	2	r1	medium	0.002256766	0.002508786	0.002534996	0.002491553	0.003225435	0.0026035072	0.00036511069600287	0.140238020468263
ASH1	2	r2	high	0.002087104	0.005286761	0.003163541	0.001281448	0.003730524	0.0031098756	0.00154241075029653	0.495971848615594
BCK2	2	r1	high	0.027986706	0.033863363	0.019015591	0.030725122	0.030366152	0.0283913868	0.00564264686440244	0.198745024473494
BCK2	2	r2	medium	0.12373609	0.081732852	0.110196157	0.08461221	0.104666978	0.1009888574	0.0177110689404929	0.175376466240649
BCK2	3	r1	medium	0.001089975	0.004758792	0	0.001370968	0.000838849	0.0016117168	0.00183229449630121	1.13685884288183
BCK2	3	r2	medium	0.003032784	0.0046335	0.001447281	0.000801943	0	0.0019831016	0.00185346810933269	0.934630938390999
CDC20	1	r1	medium	0.002114323	0.000893991	0.001440974	0.001480277	0.001359211	0.0014577552	0.000435720996940932	0.298898605843376
CDC20	1	r2	medium	0.012078074	0.007097241	0.008325679	0.007262804	0.012077021	0.0093681638	0.00251783267073602	0.268764800070642
CDC28	1	r1	high	0.344377982	0.323607469	0.338692662	0.331029403	0.341600368	0.3358615768	0.00847040416663915	0.0252199261592913
CDC28	1	r2	high	0.345183777	0.387128476	0.367715397	0.384621287	0.360844264	0.3690986402	0.0173781206746349	0.0470825919738377
CDC28	2	r1	high	0.281741882	0.275528365	0.273932918	0.276601961	0.258409104	0.273242846	0.00879285170891148	0.0321796227701108
CDC28	2	r2	high	0.302901558	0.292773868	0.282447954	0.258478621	0.282926976	0.2839057954	0.0165008052479857	0.0581207059360569
CDC28	3	r1	medium	0.148469105	0.16412567	0.169342019	1.0003533	0.176995627	0.3318571442	0.373846688532399	1.12652897509144
CDC28	3	r2	medium	2.147197365	0.362283696	2.163593233	2.142878471	2.140003022	1.7911911574	0.798835706268571	0.445980152910156
CDH1	1	r1	medium	0.007854928	0.008109996	0.017112633	0.015847179	0.015723969	0.012929741	0.00454970902733037	0.351879363038314
CDH1	1	r2	high	0.000798621	0.001001835	0.000573061	0.000255978	0.000564164	0.0006387318	0.00028008122585725	0.43849582227979
CDH1	3	r1	medium	0.002278496	0.000741402	0.002823649	0.002772601	0.00144672	0.0020125736	0.000900314835118416	0.447345048706997
CDH1	3	r2	high	0.00251015	0.003197488	0.002262498	0.002518086	0.003152748	0.002728194	0.000421023835242139	0.154323275852868
CDH1	4	r1	medium	0.017760973	0.012255752	0.010515265	0.000947768	0.010951995	0.0104863506	0.00606739505767725	0.578599294370078
CDH1	5	r1	low	0.004716035	0.001157387	0.002259783	0.001433123	0.0004299	0.0019992456	0.00165385086189892	0.827237464921228
CDH1	5	r2	low	0.003474397	0.004288422	0.003033535	0.002093203	0.001266118	0.002831135	0.00118028164095757	0.416893451198043
CIN8	1	r1	high	0.012416168	0.011238502	0.012816977	0.01231953	0.012994365	0.0123571084	0.000684425955478239	0.0553872259855096
CIN8	1	r2	high	0.012542236	0.013887677	0.014499254	0.015736935	0.015339818	0.014401184	0.00126434363906831	0.0877944229494124
CLB5	1	r1	medium	0.001048052	0.000714826	0.000491118	0.001658975	0.001455372	0.0010736686	0.000489149897981999	0.455587411219811
CLB5	1	r2	medium	0.001871668	0.001203651	0.002005355	0.001365288	0.001019087	0.0014930098	0.000427353433963856	0.286236188110658
CLN2	1	r1	medium	0.001353474	0.00153497	0.00284125	0.00231868	0.001038086	0.001817292	0.000741935770729515	0.408264478537029
CLN2	1	r2	medium	0.003501011	0.001326907	0.001357371	0.003558744	0.004331786	0.0028151638	0.00138415217223313	0.491677312784831
CLN2	2	r1	medium	0.002847848	0.007694424	0.001552612	0.006602243	0.004890167	0.0047174588	0.00254736438382276	0.539986567306694
CLN2	2	r2	medium	0	0.011147343	0	0.006181248	0	0.0034657182	0.00506001654118089	1.46001961186022
CLN3	2	r1	medium	0.000974058	0.000230533	0.000279113	0.000392391	0	0.000375219	0.000363958351084983	0.969989129241812
CLN3	2	r2	medium	0.002381349	0.001203872	0	0	0.000794134	0.000875871	0.000989321689206297	1.12952899366036
ELM1	2	r1	high	0.004120527	0.00886664	0.008617141	0.00981775	0.009783151	0.0082410418	0.00236514140516877	0.286995438509822
ELM1	2	r2	medium	0.003564711	0.008450797	0.003660761	0.007793035	0.003713055	0.0054364718	0.00246304432213089	0.453059339355147
FHL1	1	r1	high	0.028217961	0.027982649	0.026273986	0.025701789	0.033837844	0.0284028458	0.00322403881253339	0.113511119105304
FHL1	1	r2	high	0.04082731	0.049807433	0.043378039	0.043406097	0.034387345	0.0423612448	0.00555669279486253	0.1311739733121
FHL1	2	r1	high	0.021945116	0.023291061	0.020700641	0.024549241	0.022000307	0.0224972732	0.00146802683585798	0.0652535452989024
FHL1	2	r2	high	0.032470379	0.025263903	0.026709951	0.024562135	0.025656099	0.0269324934	0.00319177370635276	0.118510145308446
FHL1	3	r1	medium	0.034001046	0.033714509	0.038410387	0.036280551	0.032738835	0.0350290656	0.0022929015281012	0.0654571136519609
FHL1	3	r2	high	0.044022679	0.062136243	0.045609337	0.048021366	0.058946347	0.0517471944	0.00823078607827143	0.159057629572115
FKH1	1	r1	high	0.191188492	0.188022269	0.194846659	0.194861101	0.200092909	0.193802286	0.00452836221746363	0.023365886496631
FKH1	1	r2	medium	1.367720051	1.218456151	1.269314969	1.315503982	1.130285594	1.2602561494	0.0912722034683369	0.0724235335108589
FKH2	1	r1	high	0.013240991	0.013133003	0.012028393	0.014467686	0.011374084	0.0128488314	0.0011940720170975	0.0929323438003478
FKH2	1	r2	high	0.014542177	0.012776958	0.0132499	0.012805142	0.012562831	0.0131874016	0.000797495645662909	0.0604740546964846
FKH2	2	r1	medium	0.201737786	0.21669909	0.186808022	0.207199503	0.077441254	0.177977131	0.0572349391983299	0.321585918801725
FKH2	2	r2	medium	0.081802763	0.23011123	0.075535598	0.068297043	0.060896378	0.1033286024	0.0713045428744568	0.690075557186253
GAT1	1	r1	high	0.01772167	0.022230377	0.022300604	0.023572371	0.028272127	0.0228194298	0.00377167554264596	0.165283513904715
GAT1	1	r2	high	0.01666641	0.023475377	0.020412321	0.018902561	0.019737401	0.019838814	0.0024751011165108	0.124760538432932
HCM1	1	r1	high	0.011679746	0.009400096	0.011819914	0.011947949	0.013601368	0.0116898146	0.00149837480852482	0.128177807757945
HCM1	1	r2	high	0.021097586	0.021946451	0.023404583	0.021696337	0.024288694	0.0224867302	0.00131680218065687	0.0585590776847082
HCM1	2	r1	high	0.008098527	0.009717647	0.008771599	0.011384571	0.008969707	0.0093884102	0.00125624658265294	0.133808233331448
HCM1	2	r2	high	0.010450604	0.010195781	0.010952372	0.00910649	0.009083786	0.0099578066	0.000833260672004746	0.0836791379343264
INO4	1	r1	high	0.028295901	0.028897525	0.027969691	0.026591603	0.027119516	0.0277748472	0.000921872066779443	0.0331908960701481
INO4	1	r2	high	0.071243191	0.070911541	0.069262053	0.071484045	0.07021682	0.07062353	0.000898115917058591	0.0127169502439002
INO4	3	r1	high	0.011288281	0.010492797	0.009707981	0.010481029	0.010779123	0.0105498422	0.000573275945334531	0.0543397649430748
INO4	3	r2	high	0.013950122	0.013647357	0.013896708	0.014850508	0.013897357	0.0140484104	0.000463598896398923	0.0330000963239886
IXR1	2	r1	high	0.088958865	0.081217365	0.077921545	0.083241006	0.081816266	0.0826310094	0.00403903158500974	0.0488803369865374
IXR1	2	r2	high	0.086689083	0.081597234	0.094308021	0.104656656	0.091649108	0.0917800204	0.00868651903733603	0.0946449891760541
MBP1	1	r1	high	0.010399568	0.056964698	0.041276881	0.050764856	0.052732633	0.0424277272	0.0188025912371893	0.443167534017456
MBP1	1	r2	high	0.122293225	0.144095987	0.146770089	0.105804943	0.109961346	0.125785118	0.0189568549703535	0.150708249686211
MBP1	2	r1	medium	0.008587882	0.002072739	0.001855574	0.002445511	0.002369158	0.0034661728	0.00287283759375233	0.828821227191078
MBP1	2	r2	medium	0.016853556	0.00474943	0.004219878	0.007081523	0.010255114	0.0086319002	0.0051762349092667	0.599663433234167
MCM1	1	r1	high	0.085454341	0.085272868	0.091954108	0.099463786	0.099200602	0.092269141	0.00698742887248528	0.0757287734204146
MCM1	1	r2	high	0.0992454	0.099228033	0.098132316	0.074948238	0.097297397	0.0937702768	0.010553449486662	0.112545785794908
MET32	1	r1	medium	0.005632481	0.005120863	0.005863261	0.006413596	0.008216753	0.0062493908	0.00119380968885882	0.191028170115209
MET32	1	r2	medium	0.010612644	0.006086931	0.008946288	0.009179033	0.009284231	0.0088218254	0.00166159454925571	0.188350423400549
MSN2	1	r1	high	0.025942531	0.023567688	0.024586455	0.028444762	0.029285419	0.026365371	0.00245055673380204	0.092946036443107
MSN2	1	r2	high	0.046258441	0.04404788	0.04271844	0.035371585	0.044756971	0.0426306634	0.00425418562021714	0.0997916823461195
MSN2	2	r1	medium	0.017396517	0.023819888	0.016495172	0.019192396	0.017172796	0.0188153538	0.00296992680700959	0.157845918741618
MSN2	2	r2	medium	0.018073097	0.018251723	0.022681153	0.021573447	0.020635021	0.0202428882	0.00203359428065807	0.100459690364642
MSN4	2	r1	high	0.023094192	0.021735692	0.021316005	0.022848351	0.022434704	0.0222857888	0.000747538428367198	0.0335432788615136
MSN4	2	r2	high	0.030159174	0.02758069	0.026397615	0.02701399	0.026315155	0.0274933248	0.00157581808350859	0.0573163884314419
MSN4	3	r1	high	0.052557162	0.047465819	0.046818361	0.045118004	0.050802683	0.0485524058	0.00304485293833966	0.0627127098682238
MSN4	3	r2	high	0.062601862	0.064785389	0.06003863	0.065205883	0.06308826	0.0631440048	0.00205462057022938	0.0325386483916741
NDD1	1	r1	high	0.029873396	0.041195229	0.037103416	0.043689908	0.036275033	0.0376273964	0.00528468165527029	0.140447709936962
NDD1	1	r2	high	0.034614418	0.031714314	0.044908492	0.037846291	0.029242236	0.0356651502	0.00608612591220722	0.1706462997654
NDD1	2	r1	high	0.022927097	0.020792887	0.019136147	0.01823595	0.018203855	0.0198591872	0.00201132274188485	0.101279207533975
NDD1	2	r2	high	0.036712981	0.033888607	0.032845468	0.033299893	0.029896446	0.033328679	0.00243831726109391	0.0731597331263537
NRM1	1	r1	high	0.008825505	0.008640141	0.00873847	0.008807624	0.007405372	0.0084834224	0.000607027562277282	0.0715545606072005
NRM1	1	r2	high	0.011946035	0.013596625	0.011852659	0.012827995	0.013756272	0.0127959172	0.000891133981769969	0.0696420559653175
NRM1	2	r1	high	0.005435987	0.009463923	0.004999302	0.006550036	0.008483322	0.006986514	0.00193142745769172	0.27645081047454
NRM1	2	r2	high	0.015970943	0.012355263	0.011523373	0.015698355	0.012412274	0.0135920416	0.0020794585041541	0.152990887267009
PCL1	1	r1	high	0.008686951	0.008017148	0.008203435	0.009315852	0.008281733	0.0085010238	0.000517034152133783	0.0608202216930369
PCL1	1	r2	high	0.009260285	0.010682303	0.009552553	0.010444464	0.009048979	0.0097977168	0.000726347232315371	0.0741343363093911
PCL1	2	r1	low	0.002952867	0.024357284	0.011322377	0	0	0.0077265056	0.0103886775430311	1.34455057445776
PCL1	2	r2	low	0.057988564	0.015862436	0.028279458	0.008912329	0.0086755	0.0239436574	0.0206289749831476	0.861563237333475
PCL2	2	r1	high	0.003995199	0.00317497	0.003583973	0.003132042	0.002994136	0.003376064	0.000410002692372257	0.121443992878173
PCL2	2	r2	high	0.004343629	0.003702358	0.003931206	0.005525476	0.004236883	0.0043479104	0.000705228086218423	0.162199314461131
PDS1	2	r1	high	0.028509966	0.024980779	0.029967846	0.029260507	0.028152271	0.0281742738	0.00191757569703068	0.0680612288587428
PDS1	2	r2	high	0.0323263	0.0303959	0.030480012	0.031301666	0.032469817	0.031394739	0.000983191997854946	0.0313170941747579
PDS1	3	r1	low	0.000827566	0.000212192	0.000158076	0.001510959	0.000168845	0.0005755276	0.000593764387803193	1.03168707774083
PDS1	3	r2	low	0	0	0.000451666	0	0.000299776	0.0001502884	0.000212682163015143	1.41516020541268
PHD1	1	r1	high	0.001550185	0.001149505	0.001502999	0.001539622	0.001768598	0.0015021818	0.000223083650500659	0.1485064261201
PHD1	1	r2	high	0.001533462	0.000728915	0.001090289	0.002077558	0.001298216	0.001345688	0.000504674138798988	0.375030570829931
PLM2	1	r1	high	0.00679491	0.007098023	0.006379448	0.00621428	0.00681787	0.0066609062	0.000357896434265836	0.0537308923920647
PLM2	1	r2	high	0.007209543	0.0076263	0.007484328	0.006801952	0.007825658	0.0073895562	0.000397774291812832	0.0538292532118278
PLM2	2	r1	high	0.006618067	0.005961573	0.005818602	0.006941255	0.005240395	0.0061159784	0.000673070291637359	0.110051123077439
PLM2	2	r2	high	0.01083917	0.008951529	0.009591014	0.008782143	0.009530517	0.0095388746	0.000807956382184274	0.0847014366017847
SIC1	1	r1	high	0.014291177	0.014908826	0.015762207	0.014912291	0.01362114	0.0146991282	0.000798127624907007	0.0542976164332662
SIC1	1	r2	high	0.013480386	0.015808616	0.013432839	0.014719135	0.014081199	0.014304435	0.000990341762230847	0.0692331967135261
SIC1	2	r1	medium	0.053820287	0.063463608	0.051437007	0.049961993	0.052540833	0.0542447456	0.00534547175374689	0.0985435860122623
SIC1	2	r2	medium	0.032275565	0.031417268	0.035001941	0.02652336	0.0239036	0.0298243468	0.00450846722392375	0.151167341707673
STB1	2	r1	high	0.027339139	0.03003517	0.028193769	0.027776582	0.021668274	0.0270025868	0.00315367662022086	0.116791648280929
STB1	2	r2	high	0.103609274	0.101784041	0.097767306	0.101263004	0.114473567	0.1037794384	0.00634139439131736	0.0611045356294524
STB1	3	r1	low	0.053439979	0.062568363	0.070677329	0.064296474	0.058639965	0.061924422	0.00643094282469398	0.10385147922243
STB1	3	r2	low	0.091540782	0.069924082	0.063195944	0.056561335	0.054811158	0.0672066602	0.0148542176910907	0.22102300050153
SWE1	1	r1	medium	0.10420353	0.000945004	0.019270916	0.08005503	0.061930751	0.0532810462	0.0426629617683542	0.800715541662059
SWE1	1	r2	high	0.00047557	0.002528814	0	0	0.001650754	0.0009310276	0.00111937414212175	1.20229963335324
SWI4	1	r1	high	0.02289557	0.021993626	0.020113496	0.022775242	0.020223533	0.0216002934	0.00135268177383182	0.0626233055626837
SWI4	1	r2	high	0.03397715	0.034264019	0.033911912	0.032265448	0.033575484	0.0335988026	0.000784550087109038	0.0233505371143505
SWI4	2	r1	high	0.009756966	0.00993501	0.012380704	0.010473072	0.008409083	0.010190967	0.00144079082481636	0.141379206194697
SWI4	2	r2	medium	0.009888798	0.010079702	0.010808565	0.011224601	0.008614758	0.0101232848	0.00100187860430329	0.0989677386438131
SWI4	3	r1	high	0.036585949	0.035458907	0.035862989	0.036358863	0.034539257	0.035761193	0.000811218023706329	0.0226843109989739
SWI4	3	r2	high	0.153692025	0.142078808	0.154215698	0.142216851	0.139851272	0.1464109308	0.006951896156642	0.047482084286032
SWI5	1	r1	medium	0.003782628	0.00351197	0.003602688	0.004417726	0.002788545	0.0036207114	0.000584401341177277	0.161405115353098
SWI5	1	r2	medium	0.004065202	0.002656392	0.003650653	0.004477046	0.002711351	0.0035121288	0.000810813584809542	0.230861005100252
SWI5	3	r1	medium	0.000408659	0.000507896	5.49e-05	0.000715369	0.000744648	0.0004862944	0.000279202779268581	0.574143521431834
SWI5	3	r2	medium	0.000455571	0.000333283	0	0.000353549	0.000267649	0.0002820104	0.000171468691159057	0.608022580582336
SWI6	1	r1	medium	0.027068745	0.027284793	0.027471432	0.080368402	0.02615714	0.0376701024	0.0238744078457418	0.633776027265108
SWI6	1	r2	medium	0.039712759	0.036812607	0.034507031	0.122118889	0.135069406	0.0736441384	0.0504045591547999	0.684434094143735
SWI6	2	r1	high	0.030389817	0.035143576	0.034184688	0.033463228	0.032545702	0.0331454022	0.00181154056486274	0.0546543545898724
SWI6	2	r2	high	0.039902463	0.040341803	0.037777845	0.036331234	0.042991507	0.0394689704	0.00255261197181569	0.0646738930847736
SWI6	3	r1	high	0.069044678	0.064740418	0.057262511	0.066904241	0.066378875	0.0648661446	0.00452032583656005	0.0696869817750822
SWI6	3	r2	high	0.063963286	0.069439011	0.065051127	0.06710087	0.064717218	0.0660543024	0.00222025118000426	0.0336125142395608
TOS4	1	r1	high	0.038234149	0.062317307	0.065561805	0.056040973	0.035988815	0.0516286098	0.0137100864952792	0.265552114387539
TOS4	1	r2	high	0.061594924	0.065405533	0.039983877	0.035393567	0.036744298	0.0478244398	0.0144697239012029	0.302559192783328
TOS4	2	r1	high	0.025756128	0.049716437	0.044933095	0.051190922	0.033275433	0.040974403	0.0110379084785333	0.269385461907359
TOS4	2	r2	high	0.062023026	0.054226716	0.033202869	0.030844654	0.029147146	0.0418888822	0.0151441369238242	0.361531177927307
UME6	1	r1	low	0.005180462	0.013080283	0.002606557	0.047060747	0.02073484	0.0177325778	0.0178686250880288	1.00767216642516
UME6	1	r2	low	0.010868479	0.003909618	0.009944866	0.002119641	0.001760626	0.005720646	0.00436672179762743	0.763326693808256
UME6	2	r1	medium	0.017602271	0.012889037	0.016557003	0.010939169	0.015213861	0.0146402682	0.00271759487346094	0.18562466454412
UME6	2	r2	high	0.017923267	0.023952472	0.023119801	0.019399895	0.018106875	0.020500462	0.00284428155924761	0.138742315136488
WHI5	1	r1	high	0.003280439	0.003035025	0.004592254	0.006111361	0.010150414	0.0054338986	0.00290709568350309	0.534992626381194
WHI5	1	r2	high	0.003438778	0.003549676	0.009613933	0.003010107	0.003860045	0.0046945078	0.00276684728973785	0.589379634162681
WHI5	2	r1	high	0.014236014	0.016534813	0.015467029	0.015623924	0.016758396	0.0157240352	0.00100219065506554	0.0637362256137369
WHI5	2	r2	high	0.027006624	0.022101627	0.023014788	0.022041522	0.022144463	0.0232618048	0.00213121112737493	0.0916184769710958
YHP1	2	r1	low	0.019043703	0	0.010805997	0	0.015978642	0.0091656684	0.00886991839289671	0.967732848910038
YHP1	2	r2	low	0.008908033	0.008528039	0.007602758	0.011862946	0.013527669	0.010085889	0.00249919797595379	0.247791540830341
YHP1	3	r1	low	0.004176007	0.005761921	0.008231712	0.001894646	0.012361066	0.0064850704	0.00401574389690519	0.619229036727989
YHP1	3	r2	low	0.009264487	0.009285737	0.004891638	0.009518369	0.007904201	0.0081728864	0.00194159307409014	0.237565161078238
YHP1	4	r1	medium	0.00124908	0.001470107	0.001606118	0.00182738	0.000975564	0.0014256498	0.000327752379498914	0.229896836866188
YHP1	4	r2	medium	0.003142308	0.002025975	0.0006794	0.001292354	0.000236678	0.001475343	0.00114926815041617	0.778983701021504
YHP1	5	r1	high	0.007057607	0.007423443	0.007440997	0.006962108	0.005740531	0.0069249372	0.00069581368566104	0.100479421771657
YHP1	5	r2	high	0.010852353	0.008598346	0.008954335	0.006088814	0.007697013	0.0084381722	0.00174564812670329	0.206875148471524
YOX1	1	r1	high	0.004356365	0.004976203	0.003764389	0.000692218	0.004065029	0.0035708408	0.00167034751544378	0.467774288745602
YOX1	1	r2	high	0.006947062	0.008908745	0.007747838	0.005232854	0.005606513	0.0068886024	0.00151722900868402	0.220252080259999
YOX1	2	r1	medium	0.001100838	0	0	0.001024298	0.000677924	0.000560612	0.000535999667001762	0.956097384647068
YOX1	2	r2	medium	0	0	0.000676762	0.000622176	0	0.0002597876	0.000356251945275812	1.3713200525191
