# RNA vs. RNA Profile Dissimilarity Measure Over Phase Shifts 
# Time series files:  AS19_FUP, AS18_FUP, AA17_FUP, AA13_FUP 
# No. of Randomized Curves (Exhaustive):  720 
# Author: Robert C. Moseley 
	shift_0	shift_1	shift_2	shift_3	shift_4	df_1	df_2	kt_diss_range	kt_diss	kt_diss_pval	est_delay
shift_times	0.0	3.0	6.0	9.0	12.0						
PF3D7_0506800	0.06666666666666667	0.1	0.0	0.0	0.0	AS19_FUP	AS18_FUP	0.1	0.0	0.0	6.0
PF3D7_0506800	0.13333333333333333	0.0	0.16666666666666666	0.3333333333333333	1.0	AS19_FUP	AA17_FUP	1.0	0.0	0.0	3.0
PF3D7_0506800	0.0	0.2	0.16666666666666666	0.3333333333333333	0.0	AS19_FUP	AA13_FUP	0.3333333333333333	0.0	0.0	0.0
PF3D7_0506800	0.06666666666666667	0.1	0.16666666666666666	0.3333333333333333	1.0	AS18_FUP	AA17_FUP	0.9333333333333333	0.06666666666666667	5.9583333333333336e-05	0.0
PF3D7_0506800	0.06666666666666667	0.1	0.16666666666666666	0.3333333333333333	0.0	AS18_FUP	AA13_FUP	0.3333333333333333	0.0	0.0	12.0
PF3D7_0506800	0.13333333333333333	0.1	0.16666666666666666	0.3333333333333333	0.0	AA17_FUP	AA13_FUP	0.3333333333333333	0.0	0.0	12.0
